Battery Status: 98.6 %
Description: 39-78
Product Code: EI-HS-D-32-L
3,00:00:12,2024/3/15,U,08:55:12,23.6,74.1
4,00:00:18,2024/3/15,U,08:55:18,23.7,74.0
5,00:00:24,2024/3/15,U,08:55:24,23.7,74.2
6,00:00:30,2024/3/15,U,08:55:30,23.6,74.6
7,00:00:00,2024/3/15,U,08:55:00,23.5,74.3
8,00:00:06,2024/3/15,U,08:55:06,23.5,74.2
9,00:00:12,2024/3/15,U,08:55:12,23.6,74.1
10,00:00:18,2024/3/15,U,08:55:18,23.7,74.0
11,00:00:24,2024/3/15,U,08:55:24,23.7,74.2
12,00:00:30,2024/3/15,U,08:55:30,23.6,74.6
13,00:00:00,2024/3/15,U,08:55:00,23.5,74.3
14,00:00:06,2024/3/15,U,08:55:06,23.5,74.2
15,00:00:12,2024/3/15,U,08:55:12,23.6,74.1
16,00:00:18,2024/3/15,U,08:55:18,23.7,74.0
17,00:00:24,2024/3/15,U,08:55:24,23.7,74.2
18,00:00:30,2024/3/15,U,08:55:30,23.6,74.6
19,00:00:00,2024/3/15,U,08:55:00,23.5,74.3
20,00:00:06,2024/3/15,U,08:55:06,23.5,74.2
