Serial Number: 1642-0005
Battery Status: 98.5 %
Description: 39-78
Product Code: EI-HS-D-32-L
13,00:00:06,2024/3/18,W,10:48:06,21.9,68.2,
14,00:00:12,2024/3/18,W,10:48:12,21.9,68.2,
15,00:00:18,2024/3/18,W,10:48:18,22.0,68.1,
16,00:00:24,2024/3/18,W,10:48:24,22.1,67.7,
17,00:00:30,2024/3/18,W,10:48:30,22.0,67.5,
18,00:00:36,2024/3/18,W,10:48:36,22.1,68.1,
19,00:00:42,2024/3/18,W,10:48:42,22.1,68.0,
20,00:00:48,2024/3/18,W,10:48:48,22.1,68.0,
21,00:00:00,2024/3/18,W,10:48:00,22.0,68.1,
22,00:00:06,2024/3/18,W,10:48:06,21.9,68.2,
23,00:00:12,2024/3/18,W,10:48:12,21.9,68.2,
24,00:00:18,2024/3/18,W,10:48:18,22.0,68.1,
25,00:00:24,2024/3/18,W,10:48:24,22.1,67.7,
26,00:00:30,2024/3/18,W,10:48:30,22.0,67.5,
27,00:00:36,2024/3/18,W,10:48:36,22.1,68.1,
28,00:00:42,2024/3/18,W,10:48:42,22.1,68.0,
29,00:00:48,2024/3/18,W,10:48:48,22.1,68.0,
30,00:00:00,2024/3/18,W,10:48:00,22.0,68.1,
31,00:00:06,2024/3/18,W,10:48:06,21.9,68.2,
32,00:00:12,2024/3/18,W,10:48:12,21.9,68.2,
33,00:00:18,2024/3/18,W,10:48:18,22.0,68.1,
34,00:00:24,2024/3/18,W,10:48:24,22.1,67.7,
35,00:00:30,2024/3/18,W,10:48:30,22.0,67.5,
36,00:00:36,2024/3/18,W,10:48:36,22.1,68.1,
37,00:00:42,2024/3/18,W,10:48:42,22.1,68.0,
38,00:00:48,2024/3/18,W,10:48:48,22.1,68.0,
39,00:00:00,2024/3/18,W,10:48:00,22.0,68.1,
40,00:00:06,2024/3/18,W,10:48:06,21.9,68.2,
41,00:00:12,2024/3/18,W,10:48:12,21.9,68.2,
42,00:00:18,2024/3/18,W,10:48:18,22.0,68.1,
43,00:00:24,2024/3/18,W,10:48:24,22.1,67.7,
44,00:00:30,2024/3/18,W,10:48:30,22.0,67.5,
45,00:00:36,2024/3/18,W,10:48:36,22.1,68.1,
46,00:00:42,2024/3/18,W,10:48:42,22.1,68.0,
47,00:00:48,2024/3/18,W,10:48:48,22.1,68.0,
48,00:00:00,2024/3/18,W,10:48:00,22.0,68.1,
49,00:00:06,2024/3/18,W,10:48:06,21.9,68.2,
50,00:00:12,2024/3/18,W,10:48:12,21.9,68.2,
51,00:00:18,2024/3/18,W,10:48:18,22.0,68.1,
52,00:00:24,2024/3/18,W,10:48:24,22.1,67.7,
53,00:00:30,2024/3/18,W,10:48:30,22.0,67.5,
54,00:00:36,2024/3/18,W,10:48:36,22.1,68.1,
55,00:00:42,2024/3/18,W,10:48:42,22.1,68.0,
56,00:00:48,2024/3/18,W,10:48:48,22.1,68.0,
57,00:00:00,2024/3/18,W,10:48:00,22.0,68.1,
58,00:00:06,2024/3/18,W,10:48:06,21.9,68.2,
59,00:00:12,2024/3/18,W,10:48:12,21.9,68.2,
60,00:00:18,2024/3/18,W,10:48:18,22.0,68.1,
61,00:00:24,2024/3/18,W,10:48:24,22.1,67.7,
62,00:00:30,2024/3/18,W,10:48:30,22.0,67.5,
63,00:00:36,2024/3/18,W,10:48:36,22.1,68.1,
64,00:00:42,2024/3/18,W,10:48:42,22.1,68.0,
65,00:00:48,2024/3/18,W,10:48:48,22.1,68.0,
66,00:00:00,2024/3/18,W,10:48:00,22.0,68.1,
67,00:00:06,2024/3/18,W,10:48:06,21.9,68.2,
68,00:00:12,2024/3/18,W,10:48:12,21.9,68.2,
69,00:00:18,2024/3/18,W,10:48:18,22.0,68.1,
70,00:00:24,2024/3/18,W,10:48:24,22.1,67.7,
71,00:00:30,2024/3/18,W,10:48:30,22.0,67.5,
72,00:00:36,2024/3/18,W,10:48:36,22.1,68.1,
73,00:00:42,2024/3/18,W,10:48:42,22.1,68.0,
74,00:00:48,2024/3/18,W,10:48:48,22.1,68.0,
75,00:00:00,2024/3/18,W,10:48:00,22.0,68.1,
76,00:00:06,2024/3/18,W,10:48:06,21.9,68.2,
77,00:00:12,2024/3/18,W,10:48:12,21.9,68.2,
78,00:00:18,2024/3/18,W,10:48:18,22.0,68.1,
79,00:00:24,2024/3/18,W,10:48:24,22.1,67.7,
80,00:00:30,2024/3/18,W,10:48:30,22.0,67.5,
81,00:00:36,2024/3/18,W,10:48:36,22.1,68.1,
82,00:00:42,2024/3/18,W,10:48:42,22.1,68.0,
83,00:00:48,2024/3/18,W,10:48:48,22.1,68.0,
84,00:00:00,2024/3/18,W,10:48:00,22.0,68.1,
85,00:00:06,2024/3/18,W,10:48:06,21.9,68.2,
86,00:00:12,2024/3/18,W,10:48:12,21.9,68.2,
87,00:00:18,2024/3/18,W,10:48:18,22.0,68.1,
88,00:00:24,2024/3/18,W,10:48:24,22.1,67.7,
89,00:00:30,2024/3/18,W,10:48:30,22.0,67.5,
90,00:00:36,2024/3/18,W,10:48:36,22.1,68.1,
91,00:00:42,2024/3/18,W,10:48:42,22.1,68.0,
92,00:00:48,2024/3/18,W,10:48:48,22.1,68.0,
93,00:00:00,2024/3/18,W,10:48:00,22.0,68.1,
94,00:00:06,2024/3/18,W,10:48:06,21.9,68.2,
95,00:00:12,2024/3/18,W,10:48:12,21.9,68.2,
96,00:00:18,2024/3/18,W,10:48:18,22.0,68.1,
97,00:00:24,2024/3/18,W,10:48:24,22.1,67.7,
98,00:00:30,2024/3/18,W,10:48:30,22.0,67.5,
99,00:00:36,2024/3/18,W,10:48:36,22.1,68.1,
