Serial Number: 1642-0005
Battery Status: 98.6 %
Description: 39-78
Product Code: EI-HS-D-32-L
3,00:00:12,2024/3/18,W,10:48:12,21.9,68.2,
4,00:00:18,2024/3/18,W,10:48:18,22.0,68.1,
5,00:00:24,2024/3/18,W,10:48:24,22.1,67.7,
6,00:00:30,2024/3/18,W,10:48:30,22.0,67.5,
7,00:00:36,2024/3/18,W,10:48:36,22.1,68.1,
8,00:00:42,2024/3/18,W,10:48:42,22.1,68.0,
9,00:00:48,2024/3/18,W,10:48:48,22.1,68.0,
10,00:00:54,2024/3/18,W,10:48:54,22.2,68.3,
11,00:01:00,2024/3/18,W,10:49:00,22.2,68.4,
12,00:00:00,2024/3/18,W,10:48:00,22.0,68.1,
13,00:00:06,2024/3/18,W,10:48:06,21.9,68.2,
14,00:00:12,2024/3/18,W,10:48:12,21.9,68.2,
15,00:00:18,2024/3/18,W,10:48:18,22.0,68.1,
16,00:00:24,2024/3/18,W,10:48:24,22.1,67.7,
17,00:00:30,2024/3/18,W,10:48:30,22.0,67.5,
18,00:00:36,2024/3/18,W,10:48:36,22.1,68.1,
19,00:00:42,2024/3/18,W,10:48:42,22.1,68.0,
20,00:00:48,2024/3/18,W,10:48:48,22.1,68.0,
21,00:00:00,2024/3/18,W,10:48:00,22.0,68.1,
22,00:00:06,2024/3/18,W,10:48:06,21.9,68.2,
23,00:00:12,2024/3/18,W,10:48:12,21.9,68.2,
24,00:00:18,2024/3/18,W,10:48:18,22.0,68.1,
25,00:00:24,2024/3/18,W,10:48:24,22.1,67.7,
26,00:00:30,2024/3/18,W,10:48:30,22.0,67.5,
27,00:00:36,2024/3/18,W,10:48:36,22.1,68.1,
28,00:00:42,2024/3/18,W,10:48:42,22.1,68.0,
29,00:00:48,2024/3/18,W,10:48:48,22.1,68.0,
30,00:00:00,2024/3/18,W,10:48:00,22.0,68.1,
31,00:00:06,2024/3/18,W,10:48:06,21.9,68.2,
32,00:00:12,2024/3/18,W,10:48:12,21.9,68.2,
33,00:00:18,2024/3/18,W,10:48:18,22.0,68.1,
34,00:00:24,2024/3/18,W,10:48:24,22.1,67.7,
35,00:00:30,2024/3/18,W,10:48:30,22.0,67.5,
36,00:00:36,2024/3/18,W,10:48:36,22.1,68.1,
37,00:00:42,2024/3/18,W,10:48:42,22.1,68.0,
38,00:00:48,2024/3/18,W,10:48:48,22.1,68.0,
390,00:00:54,2024/3/18,W,10:48:54,22.2,68.3,
401,00:01:00,2024/3/18,W,10:49:00,22.2,68.4,
41
42
43erial,Number:,1642-0005,
44attery,Status:,98.6,%,
45escription:,39-78,
46roduct,Code:,EI-HS-D-32-L,
47
48ndex,Elapsed,Time,Date,Time,Air,Temp,(,XC),Humidity,(%RH),
49,00:00:00,2024/3/18,W,10:48:00,22.0,68.1,
50,00:00:06,2024/3/18,W,10:48:06,21.9,68.2,
51,00:00:12,2024/3/18,W,10:48:12,21.9,68.2,
52,00:00:18,2024/3/18,W,10:48:18,22.0,68.1,
53,00:00:24,2024/3/18,W,10:48:24,22.1,67.7,
54,00:00:30,2024/3/18,W,10:48:30,22.0,67.5,
55,00:00:36,2024/3/18,W,10:48:36,22.1,68.1,
56,00:00:42,2024/3/18,W,10:48:42,22.1,68.0,
57,00:00:48,2024/3/18,W,10:48:48,22.1,68.0,
